"name","sku","product_url","image_url","local_path"
"EcoTank L3256","C11CJ67513","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/EcoTank-L3256-Wi-Fi-Multifunction-InkTank-Printer/p/C11CJ67513","https://mediaserver.goepson.com/adaptivemedia/rendition?id=a6cc6455cedfdedd70f90885592c1a9ff8c63aa5&vid=a6cc6455cedfdedd70f90885592c1a9ff8c63aa5&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L3256","assets\epson-desktop-colour\EcoTank_L3256_C11CJ67513.png"
"EcoTank L3260","C11CJ66511","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L3260-A4-Wi-Fi-All-in-One-Ink-Tank-Printer/p/C11CJ66511","https://mediaserver.goepson.com/adaptivemedia/rendition?id=275bc1edc07b7716321b0647b12db8e0043fd36d&vid=275bc1edc07b7716321b0647b12db8e0043fd36d&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L3260_SPT_C11CJ66301_384x286","assets\epson-desktop-colour\EcoTank_L3260_C11CJ66511.png"
"EcoTank L3560","C11CK58501","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L3560-A4-Wi-Fi-All-in-One-Ink-Tank-Printer/p/C11CK58501","https://mediaserver.goepson.com/adaptivemedia/rendition?id=00fde9898928df0b0a8f64f20bcd445b0a084fca&vid=00fde9898928df0b0a8f64f20bcd445b0a084fca&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L3560_SPT_C11CK58301_384x286","assets\epson-desktop-colour\EcoTank_L3560_C11CK58501.png"
"EcoTank L4360","C11CL41506","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L4360-A4-Wi-Fi-Duplex-All-in-One-Ink-Tank-Printer/p/C11CL41506","https://mediaserver.goepson.com/adaptivemedia/rendition?id=b60a817262899db17ba54c434d854f462f24b1f2&vid=b60a817262899db17ba54c434d854f462f24b1f2&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L4360_Front","assets\epson-desktop-colour\EcoTank_L4360_C11CL41506.jpg"
"EcoTank L5290","C11CJ65506","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L5290-A4-Wi-Fi-All-in-One-Ink-Tank-Printer-with-ADF/p/C11CJ65506","https://mediaserver.goepson.com/adaptivemedia/rendition?id=7a19b2a43566a34c916c5515b05e5371eccb95a0&vid=7a19b2a43566a34c916c5515b05e5371eccb95a0&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L5290","assets\epson-desktop-colour\EcoTank_L5290_C11CJ65506.png"
"EcoTank L6270","C11CJ61502","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-L6270-WiFi-Duplex-Multifunction-InkTank-Printer-with-ADF/p/C11CJ61502","https://mediaserver.goepson.com/adaptivemedia/rendition?id=78aaf198f02ae7125d3809bc9cd32e20f8718ef5&vid=78aaf198f02ae7125d3809bc9cd32e20f8718ef5&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L6270","assets\epson-desktop-colour\EcoTank_L6270_C11CJ61502.png"
"EcoTank L6360","C11CL42503","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L6360-A4-Wi-Fi-All-in-One-Ink-Tank-Printer/p/C11CL42503","https://mediaserver.goepson.com/adaptivemedia/rendition?id=dee4081a654b862684da6603ba0ed88ed30f77a7&vid=dee4081a654b862684da6603ba0ed88ed30f77a7&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=24Lio3_MCL_blk_01","assets\epson-desktop-colour\EcoTank_L6360_C11CL42503.png"
"EcoTank L6370","C11CL43502","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L6370-A4-Wi-Fi-Duplex-All-in-One-Ink-Tank-Printer/p/C11CL43502","https://mediaserver.goepson.com/adaptivemedia/rendition?id=ad06197281acbc595c2531d8e2b02e3c197b3705&vid=ad06197281acbc595c2531d8e2b02e3c197b3705&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L6370","assets\epson-desktop-colour\EcoTank_L6370_C11CL43502.jpg"
"EcoTank L6390","C11CL40503","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L6390-A4-Wi-Fi-Duplex-All-in-One-Ink-Tank-Printer-with-Fax/p/C11CL40503","https://mediaserver.goepson.com/adaptivemedia/rendition?id=ad06197281acbc595c2531d8e2b02e3c197b3705&vid=ad06197281acbc595c2531d8e2b02e3c197b3705&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L6370","assets\epson-desktop-colour\EcoTank_L6390_C11CL40503.jpg"
"EcoTank L6460","C11CJ89503","https://www.epson.co.in/EcoTank-Printers/Epson-EcoTank-L6460-A4-Ink-Tank-Printer/p/C11CJ89503","https://mediaserver.goepson.com/adaptivemedia/rendition?id=56cc633e0e56e222fd98e39f62c49ff067a38a86&vid=56cc633e0e56e222fd98e39f62c49ff067a38a86&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L6490-%281%29","assets\epson-desktop-colour\EcoTank_L6460_C11CJ89503.jpg"
"EcoTank L6490","C11CJ88503","https://www.epson.co.in/EcoTank-Printers/Epson-EcoTank-L6490-A4-Ink-Tank-Printer/p/C11CJ88503","https://mediaserver.goepson.com/adaptivemedia/rendition?id=56cc633e0e56e222fd98e39f62c49ff067a38a86&vid=56cc633e0e56e222fd98e39f62c49ff067a38a86&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L6490-%281%29","assets\epson-desktop-colour\EcoTank_L6490_C11CJ88503.jpg"
"EcoTank L6570","C11CJ29502","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/EcoTank-L6570-Wi-Fi-Duplex-Multifunction-ADF-InkTank-Office-Printer/p/C11CJ29502","https://mediaserver.goepson.com/adaptivemedia/rendition?id=87ff9e0b455a46e640699c11a661fa39427a1b58&vid=87ff9e0b455a46e640699c11a661fa39427a1b58&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L6570","assets\epson-desktop-colour\EcoTank_L6570_C11CJ29502.png"
"EcoTank L6580","C11CJ28503","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/EcoTank-L6580-Wi-Fi-Duplex-Multifunction-ADF-InkTank-Office-Printer-with-PCL-support/p/C11CJ28503","https://mediaserver.goepson.com/adaptivemedia/rendition?id=12461e4bcdc48106d00f63740f274a963736931b&vid=12461e4bcdc48106d00f63740f274a963736931b&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=6580","assets\epson-desktop-colour\EcoTank_L6580_C11CJ28503.png"
"EcoTank L14150","C11CH96503","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L14150-A3%2B-Wi-Fi-Duplex-Wide-Format-All-in-One-Ink-Tank-Printer/p/C11CH96503","https://mediaserver.goepson.com/adaptivemedia/rendition?id=14ea44b499dce7df2cebf25225e27cf7b10e91b7&vid=14ea44b499dce7df2cebf25225e27cf7b10e91b7&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=19Lin_FAL_Black_01_2-1","assets\epson-desktop-colour\EcoTank_L14150_C11CH96503.jpg"
"EcoTank L15150","C11CH72503","https://www.epson.co.in/EcoTank-Printers/Epson-EcoTank-L15150-A3-Wi-Fi-Duplex-All-in-One-Ink-Tank-Printer/p/C11CH72503","https://mediaserver.goepson.com/adaptivemedia/rendition?id=971336a3289c5e62e48bb05c1de8c49e05cea44d&vid=971336a3289c5e62e48bb05c1de8c49e05cea44d&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L15150_19Cah_FDL_Black_01_2","assets\epson-desktop-colour\EcoTank_L15150_C11CH72503.jpg"
"EcoTank L15160","C11CH71502","https://www.epson.co.in/EcoTank-Printers/Epson-EcoTank-L15160-A3-Wi-Fi-Duplex-All-in-One-Ink-Tank-Printer/p/C11CH71502","https://mediaserver.goepson.com/adaptivemedia/rendition?id=971336a3289c5e62e48bb05c1de8c49e05cea44d&vid=971336a3289c5e62e48bb05c1de8c49e05cea44d&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L15150_19Cah_FDL_Black_01_2","assets\epson-desktop-colour\EcoTank_L15160_C11CH71502.jpg"
"EcoTank L15180","C11CH71507","https://www.epson.co.in/EcoTank-Printers/Epson-EcoTank-L15180-A3-Wi-Fi-Duplex-Multi-Function-Ink-Tank-Printer/p/C11CH71507","https://mediaserver.goepson.com/adaptivemedia/rendition?id=971336a3289c5e62e48bb05c1de8c49e05cea44d&vid=971336a3289c5e62e48bb05c1de8c49e05cea44d&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L15150_19Cah_FDL_Black_01_2","assets\epson-desktop-colour\EcoTank_L15180_C11CH71507.jpg"
